"Métier","JobID","Nom","ItemID","Niveau_Item","Niveau_Craft","XP","Rareté","Ingrédients"
"Armurier","77","Bouclier Necropete","9975","30","16","3600","2","ID:20662 x7 | ID:1851 x13 | ID:2243 x4 | ID:20653 x4 | ID:26421 x35"
"Armurier","77","L'Encaisseur","9930","32","16","10800","3","ID:20585 x2 | ID:20668 x1 | ID:20606 x14 | ID:20678 x12"
"Armurier","77","Les Cétérats","2643","33","17","10800","3","ID:20679 x1 | ID:20668 x1 | ID:20606 x14 | ID:20662 x6"
"Armurier","77","Plastrogu Violet","9816","32","19","10800","3","ID:20676 x1 | ID:9550 x1 | ID:20606 x14 | ID:20653 x6"
"Armurier","77","Plaque Imparfaite","21065","50","20","450","1","ID:11481 x5 | ID:11480 x5"
"Armurier","77","Le Dailh","9399","35","20","3600","2","ID:9781 x3 | ID:1846 x21 | ID:20662 x5 | ID:1851 x10"
"Armurier","77","Epaulettes de Karne","9980","35","20","3600","2","ID:21065 x12 | ID:9783 x1 | ID:11481 x10 | ID:21659 x7"
"Armurier","77","Le Bouclier Taverne","3976","40","23","3600","2","ID:2243 x5 | ID:20653 x5 | ID:20662 x5 | ID:12434 x10"
"Armurier","77","Plastron de la Raison","9981","40","23","3600","2","ID:20662 x12 | ID:9782 x1 | ID:11511 x8 | ID:6257 x16 | ID:1848 x12"
"Armurier","77","Plastron du passeur d'âmes","30436","40","26","3600","2","ID:27093 x1 | ID:30346 x10 | ID:21115 x4 | ID:21626 x3"
"Armurier","77","Epaulettes du professeur","30432","40","26","3600","2","ID:27093 x1 | ID:30346 x10 | ID:21115 x4 | ID:21065 x3"
"Armurier","77","Bouclier du Déni","9976","45","26","3600","2","ID:21065 x7 | ID:1848 x20 | ID:26416 x30 | ID:26399 x2 | ID:20671 x14"
"Armurier","77","Bouclier du Mont Kipou","25165","44","26","3600","2","ID:26398 x10 | ID:21115 x4 | ID:21065 x3 | ID:27093 x1"
"Armurier","77","Plastron Fendu","12451","44","26","3600","2","ID:27093 x1 | ID:3903 x10 | ID:21115 x4 | ID:21065 x3"
"Armurier","77","Plastromoogrr","25143","46","27","1800","2","ID:21115 x6 | ID:27093 x1 | ID:23834 x1 | ID:25142 x1"
"Armurier","77","Plastron Fendu","23789","47","28","5400","3","ID:21115 x12 | ID:12435 x1 | ID:12451 x1 | ID:15162 x1 | ID:21065 x3 | ID:27093 x1"
"Armurier","77","Le Bloc Parti","15164","48","28","5400","3","ID:27093 x1 | ID:21115 x12 | ID:3903 x6 | ID:23834 x1 | ID:23783 x1 | ID:15162 x1"
"Armurier","77","Plastron du passeur d'âmes","30437","47","28","5400","3","ID:27093 x1 | ID:30436 x1 | ID:30348 x1 | ID:21115 x12 | ID:30346 x6 | ID:21065 x3"
"Armurier","77","Epaulettes du professeur","30433","50","28","5400","3","ID:27093 x1 | ID:30432 x1 | ID:30348 x1 | ID:21115 x12 | ID:30346 x6 | ID:23834 x1"
"Armurier","77","Epaulettes de Mort-brûlé","30356","50","28","5400","3","ID:27093 x1 | ID:30355 x1 | ID:30348 x1 | ID:21115 x12 | ID:30347 x1 | ID:23834 x1"
"Armurier","77","Plastron de Mort-brûlé","30380","49","28","5400","3","ID:27093 x1 | ID:30379 x1 | ID:30348 x1 | ID:21115 x12 | ID:30347 x1 | ID:21637 x3"
"Armurier","77","Epaulettes Craquelées","12439","47","28","5400","3","ID:27093 x1 | ID:21115 x12 | ID:23834 x1 | ID:12435 x1 | ID:23779 x1 | ID:15162 x1"
"Armurier","77","Epaulettes Carnivores","23702","48","28","5400","3","ID:27093 x1 | ID:21115 x12 | ID:3896 x6 | ID:11008 x1 | ID:21626 x3 | ID:11545 x1"
"Armurier","77","Plastron Carnivore","23703","47","28","5400","3","ID:27093 x1 | ID:21115 x12 | ID:3896 x6 | ID:23835 x1 | ID:11011 x1 | ID:11545 x1"
"Armurier","77","Epaulettes Prédateur Alpha","14585","48","28","10800","3","ID:27093 x1 | ID:8079 x2 | ID:11545 x2 | ID:21637 x5 | ID:21115 x11"
"Armurier","77","Moutron","25155","48","28","5400","3","ID:21115 x12 | ID:26398 x6 | ID:23834 x1 | ID:25154 x1 | ID:26400 x1 | ID:27093 x1"
"Armurier","77","Bouclier du Mont Kipou","25166","47","28","5400","3","ID:21115 x12 | ID:23834 x1 | ID:26399 x1 | ID:25165 x1 | ID:26400 x1 | ID:27093 x1"
"Armurier","77","Spalières du flibustier","30229","48","28","5400","3","ID:27093 x1 | ID:30228 x1 | ID:30219 x1 | ID:21115 x12 | ID:30217 x6 | ID:21626 x3"
"Armurier","77","Chemise du pirate aguerri","30250","47","28","5400","3","ID:27093 x1 | ID:30249 x1 | ID:30219 x1 | ID:21115 x12 | ID:30217 x6 | ID:21065 x3"
"Armurier","77","Buste Radivarius","30256","47","28","10800","3","ID:27093 x1 | ID:30218 x2 | ID:30217 x2 | ID:21115 x11 | ID:21065 x5"
"Armurier","77","Plastron Buque","23693","47","28","1800","2","ID:21626 x4 | ID:21115 x6 | ID:9506 x1 | ID:27093 x1"
"Armurier","77","Epaulettes Moogrr Impériale","25173","49","29","10800","3","ID:27093 x1 | ID:26399 x2 | ID:26400 x2 | ID:21115 x11 | ID:21637 x5"
"Armurier","77","Plastron Moogrr Impériale","25174","49","29","10800","3","ID:27093 x1 | ID:26400 x2 | ID:21115 x11 | ID:26398 x10 | ID:21065 x5"
"Armurier","77","Plastromoogrr","25144","49","29","5400","3","ID:21115 x12 | ID:26398 x6 | ID:23834 x1 | ID:25143 x1 | ID:26400 x1 | ID:27093 x1"
"Armurier","77","Plastron de la Justice","9616","51","30","10800","3","ID:21066 x20 | ID:21372 x6 | ID:1848 x57 | ID:11485 x23 | ID:21375 x4"
"Armurier","77","Bouclier Dlamoule","12057","50","30","3600","2","ID:21065 x7 | ID:26463 x50 | ID:26462 x50"
"Armurier","77","Plastron Buque","23694","50","30","5400","3","ID:27093 x1 | ID:21115 x12 | ID:3896 x6 | ID:23693 x1 | ID:11545 x1 | ID:21626 x3"
"Armurier","77","Epaulettes de la Justice","9615","51","30","10800","3","ID:21066 x17 | ID:26418 x2 | ID:7932 x9 | ID:1848 x73 | ID:11484 x43"
"Armurier","77","Plaque Fragile","21066","65","30","450","1","ID:11482 x5 | ID:1848 x5"
"Armurier","77","Haubert du simulateur","30916","53","35","3600","2","ID:27093 x1 | ID:30881 x1 | ID:21116 x6 | ID:21066 x1"
"Armurier","77","Spalières Gomanies","30918","52","35","3600","2","ID:27093 x1 | ID:30881 x1 | ID:21116 x6 | ID:21066 x1"
"Armurier","77","Top Koko","25324","61","36","3600","2","ID:23686 x1 | ID:26410 x12 | ID:21116 x5 | ID:27093 x1"
"Armurier","77","La Montre","17794","60","36","3600","2","ID:23597 x2 | ID:21116 x5 | ID:21627 x3 | ID:27093 x1"
"Armurier","77","Les Ailerons","21428","59","36","1800","2","ID:27093 x1 | ID:21151 x1 | ID:21638 x4 | ID:21116 x6"
"Armurier","77","Ekokolettes","25295","61","36","1800","2","ID:21638 x4 | ID:25294 x1 | ID:21116 x6 | ID:27093 x1"
"Armurier","77","Epaulettes de Xai","30397","55","36","3600","2","ID:23686 x1 | ID:27093 x1 | ID:21116 x5 | ID:30386 x12"
"Armurier","77","Le Fiskouale","21166","59","36","3600","2","ID:23686 x1 | ID:21424 x12 | ID:27093 x1 | ID:21116 x5"
"Armurier","77","Bouclier Etoilé","5945","60","36","3600","2","ID:21066 x5 | ID:6162 x24 | ID:5521 x18 | ID:8412 x12 | ID:8082 x10"
"Armurier","77","Epaulettes Bouftou Sauvage","23637","59","36","1800","2","ID:17753 x1 | ID:21638 x4 | ID:21116 x6 | ID:27093 x1"
"Armurier","77","Bouclier de Jim","30438","55","36","3600","2","ID:23685 x1 | ID:27093 x1 | ID:30386 x12 | ID:21116 x5"
"Armurier","77","Les Moulinettes","21385","61","37","5400","3","ID:21371 x6 | ID:21129 x1 | ID:21638 x3 | ID:21116 x12 | ID:27093 x1 | ID:21376 x1"
"Armurier","77","Plastron Rapiécé Bwork","23624","63","38","5400","3","ID:21627 x3 | ID:21116 x12 | ID:17784 x6 | ID:17785 x1 | ID:17804 x1 | ID:27093 x1"
"Armurier","77","Kaskatron","21378","62","38","1800","2","ID:21116 x6 | ID:17220 x1 | ID:27093 x1 | ID:21127 x1"
"Armurier","77","Kokol roulé","25303","62","38","1800","2","ID:25302 x1 | ID:21638 x4 | ID:21116 x6 | ID:27093 x1"
"Armurier","77","La Montre","23633","63","38","5400","3","ID:27093 x1 | ID:21116 x12 | ID:23686 x1 | ID:23597 x1 | ID:17785 x1 | ID:17794 x1"
"Armurier","77","Les Requikounettes","21167","62","38","3600","2","ID:23686 x1 | ID:21116 x5 | ID:21423 x2 | ID:27093 x1"
"Armurier","77","Epaulettes du Cwabe Impérial","25285","62","38","3600","2","ID:23685 x1 | ID:21116 x5 | ID:26404 x12 | ID:27093 x1"
"Armurier","77","Salbatrailettes","25261","62","38","1800","2","ID:21638 x4 | ID:21116 x6 | ID:25260 x1 | ID:27093 x1"
"Armurier","77","Cwabaupaulettes","25259","62","38","5400","3","ID:26406 x1 | ID:25258 x1 | ID:26405 x1 | ID:21066 x3 | ID:21116 x12 | ID:27093 x1"
"Armurier","77","Epaulettes Bouftou Sauvage","23636","62","38","5400","3","ID:27093 x1 | ID:17862 x6 | ID:21066 x3 | ID:17772 x1 | ID:23637 x1 | ID:21116 x12"
"Armurier","77","Plastron Bouftou Sauvage","17752","62","38","5400","3","ID:27093 x1 | ID:21638 x3 | ID:21116 x12 | ID:17763 x1 | ID:17772 x1 | ID:23642 x1"
"Armurier","77","Epaulettes matelassées","30395","62","38","5400","3","ID:27093 x1 | ID:23686 x1 | ID:30386 x6 | ID:30388 x1 | ID:30394 x1 | ID:21116 x12"
"Armurier","77","Epaulettes touffues","30898","60","38","5400","3","ID:27093 x1 | ID:30881 x1 | ID:30897 x1 | ID:23686 x1 | ID:21066 x6 | ID:21116 x21"
"Armurier","77","Coquillettes","21391","63","38","5400","3","ID:21376 x1 | ID:21136 x1 | ID:21066 x3 | ID:21116 x12 | ID:21371 x6 | ID:27093 x1"
"Armurier","77","Les Ailerons","21432","62","38","5400","3","ID:21116 x12 | ID:21424 x6 | ID:23686 x1 | ID:21427 x1 | ID:21428 x1 | ID:27093 x1"
"Armurier","77","Le Fiskouale","21444","62","38","5400","3","ID:21116 x12 | ID:23686 x1 | ID:21423 x1 | ID:21166 x1 | ID:21427 x1 | ID:27093 x1"
"Armurier","77","Plastif","30900","61","38","5400","3","ID:21116 x15 | ID:27093 x1 | ID:23685 x1 | ID:30881 x1 | ID:30899 x1 | ID:21066 x6"
"Armurier","77","Haubert du simulateur","30917","58","38","5400","3","ID:27093 x1 | ID:23685 x1 | ID:30881 x1 | ID:30916 x1 | ID:21066 x6 | ID:21116 x21"
"Armurier","77","Plastron du Bouftou Primitif","15587","63","38","10800","3","ID:17772 x2 | ID:21116 x12 | ID:17862 x12 | ID:21066 x6 | ID:27093 x2"
"Armurier","77","Bouclier de Jim","30439","63","38","5400","3","ID:27093 x1 | ID:21066 x3 | ID:30386 x6 | ID:30388 x1 | ID:30438 x1 | ID:21116 x12"
"Armurier","77","Spalières Gomanies","30919","57","38","5400","3","ID:27093 x1 | ID:23685 x1 | ID:30881 x1 | ID:30918 x1 | ID:21066 x6 | ID:21116 x21"
"Armurier","77","Plastron de Grithril","30405","62","38","5400","3","ID:27093 x1 | ID:23686 x1 | ID:30387 x1 | ID:30388 x1 | ID:30404 x1 | ID:21116 x12"
"Armurier","77","Epaulettes de Xai","30398","65","38","5400","3","ID:27093 x1 | ID:21638 x3 | ID:30386 x6 | ID:30388 x1 | ID:30397 x1 | ID:21116 x12"
"Armurier","77","Bouclier Bwork","23627","64","39","5400","3","ID:21066 x3 | ID:21116 x12 | ID:17784 x6 | ID:17785 x1 | ID:17819 x1 | ID:27093 x1"
"Armurier","77","Krarapace","21390","64","39","5400","3","ID:21376 x1 | ID:21135 x1 | ID:21116 x12 | ID:21371 x6 | ID:21066 x3 | ID:27093 x1"
"Armurier","77","Ekokolettes","25296","64","39","5400","3","ID:23685 x1 | ID:26412 x1 | ID:25295 x1 | ID:26410 x6 | ID:21116 x12 | ID:27093 x1"
"Armurier","77","L'Ecu M'Demer","21170","64","39","10800","3","ID:23686 x2 | ID:21427 x2 | ID:21424 x12 | ID:21116 x12 | ID:27093 x2"
"Armurier","77","Couettes scapulaires","30894","59","39","5400","3","ID:27093 x1 | ID:30881 x1 | ID:30893 x1 | ID:23686 x1 | ID:21066 x6 | ID:21116 x21"
"Armurier","77","Top Koko","25325","64","39","5400","3","ID:26411 x1 | ID:26412 x1 | ID:25324 x1 | ID:21627 x3 | ID:21116 x12 | ID:27093 x1"
"Armurier","77","Kokol roulé","25304","65","40","5400","3","ID:23686 x1 | ID:26412 x1 | ID:25303 x1 | ID:26410 x6 | ID:21116 x12 | ID:27093 x1"
"Armurier","77","Pectoskouale","21168","65","40","10800","3","ID:21423 x2 | ID:21427 x2 | ID:21116 x12 | ID:21066 x6 | ID:27093 x2"
"Armurier","77","Plaque Rustique","21067","80","40","450","1","ID:11484 x5 | ID:11485 x5"
"Armurier","77","Epaulettes du Cwabe Impérial","25286","65","40","5400","3","ID:26406 x1 | ID:27093 x1 | ID:25285 x1 | ID:21066 x3 | ID:21116 x12 | ID:26404 x6"
"Armurier","77","Epaulettes de Throll","23630","65","40","5400","3","ID:21116 x12 | ID:17785 x1 | ID:17811 x1 | ID:21066 x3 | ID:17784 x6 | ID:27093 x1"
"Armurier","77","Les Requikounettes","21445","65","40","5400","3","ID:21638 x3 | ID:21116 x12 | ID:21424 x6 | ID:27093 x1 | ID:21167 x1 | ID:21427 x1"
"Armurier","77","Salbatrailettes","25262","65","40","5400","3","ID:26406 x1 | ID:25261 x1 | ID:26405 x1 | ID:21066 x3 | ID:21116 x12 | ID:27093 x1"
"Armurier","77","Kaskatron","21383","65","40","5400","3","ID:27093 x1 | ID:21627 x3 | ID:21116 x12 | ID:21372 x1 | ID:21378 x1 | ID:21376 x1"
"Armurier","77","Bougligli","25446","75","46","3600","2","ID:26417 x2 | ID:23480 x1 | ID:26416 x13 | ID:21117 x5 | ID:27093 x1"
"Armurier","77","Bouclier Collant","25345","74","46","1800","2","ID:25344 x1 | ID:27093 x1 | ID:21628 x5 | ID:21117 x7"
"Armurier","77","Boostron","25334","75","46","1800","2","ID:25333 x1 | ID:27093 x1 | ID:21067 x5 | ID:21117 x7"
"Armurier","77","Etruchettes","25379","75","46","1800","2","ID:21639 x5 | ID:25378 x1 | ID:27093 x1 | ID:21117 x7"
"Armurier","77","Epaulettes Gligli","25424","75","46","1800","2","ID:25423 x1 | ID:21117 x7 | ID:27093 x1 | ID:21067 x5"
"Armurier","77","Rat fistolé","15402","76","47","1800","2","ID:21117 x7 | ID:21639 x5 | ID:23528 x1 | ID:27093 x1"
"Armurier","77","Renforts de Kroapule","19350","76","47","1800","2","ID:23502 x1 | ID:27093 x1 | ID:21067 x5 | ID:21117 x7"
"Armurier","77","Plastruche","25382","76","47","1800","2","ID:21067 x5 | ID:21117 x7 | ID:25381 x1 | ID:27093 x1"
"Armurier","77","Les Kramouillettes","25408","76","47","3600","2","ID:26429 x2 | ID:23480 x1 | ID:26428 x13 | ID:21117 x5 | ID:27093 x1"
"Armurier","77","Epaulettes Mulantes","23545","78","48","5400","3","ID:27093 x2 | ID:21067 x3 | ID:21117 x13 | ID:8086 x7 | ID:5515 x1 | ID:12379 x1 | ID:10098 x1"
"Armurier","77","Epaulettes à Plumes","23490","78","48","5400","3","ID:5437 x7 | ID:21067 x3 | ID:21117 x13 | ID:27093 x2 | ID:5438 x1 | ID:12458 x1 | ID:12470 x1"
"Armurier","77","Porte Etoile Bleu","23492","78","48","5400","3","ID:27093 x2 | ID:21067 x3 | ID:21117 x13 | ID:5438 x1 | ID:12481 x1 | ID:5437 x7 | ID:12470 x1"
"Armurier","77","Plumage de Vrille","23514","77","48","3600","2","ID:19374 x2 | ID:11486 x1 | ID:19308 x13 | ID:21117 x5 | ID:27093 x1"
"Armurier","77","Plastron Gligli Royal","25452","78","48","10800","3","ID:27093 x2 | ID:26417 x2 | ID:26418 x2 | ID:26416 x13 | ID:21117 x12 | ID:21067 x7"
"Armurier","77","Bougligli","25447","78","48","5400","3","ID:26417 x1 | ID:23480 x1 | ID:26418 x1 | ID:25446 x1 | ID:26416 x7 | ID:21117 x13 | ID:27093 x2"
"Armurier","77","Epaulettes Gligli","25425","78","48","5400","3","ID:26417 x1 | ID:26418 x1 | ID:25424 x1 | ID:21067 x3 | ID:26416 x7 | ID:27093 x2 | ID:21117 x13"
"Armurier","77","Korbotaulettes","19367","77","48","5400","3","ID:5438 x1 | ID:12470 x1 | ID:27093 x2 | ID:5437 x7 | ID:21117 x13 | ID:11486 x1 | ID:23493 x1"
"Armurier","77","Plastrétoile","12475","78","48","10800","3","ID:21067 x7 | ID:5438 x2 | ID:5437 x13 | ID:21117 x12 | ID:27093 x2 | ID:12470 x2"
"Armurier","77","Targe à Truche","25394","78","48","5400","3","ID:26428 x7 | ID:21117 x13 | ID:26429 x1 | ID:23686 x1 | ID:26430 x1 | ID:25393 x1 | ID:27093 x2"
"Armurier","77","Boostron","25335","78","48","5400","3","ID:26423 x1 | ID:11486 x1 | ID:26424 x1 | ID:25334 x1 | ID:27093 x2 | ID:26422 x7 | ID:21117 x13"
"Armurier","77","Corbatron","8258","77","48","5400","3","ID:27093 x2 | ID:5437 x7 | ID:21067 x3 | ID:21117 x13 | ID:5438 x1 | ID:12470 x1 | ID:23487 x1"
"Armurier","77","Bouclier Collant","25346","77","48","5400","3","ID:21639 x3 | ID:21117 x13 | ID:26423 x1 | ID:26424 x1 | ID:25345 x1 | ID:27093 x2 | ID:26422 x7"
"Armurier","77","Etruchettes","25380","78","48","5400","3","ID:21067 x3 | ID:26428 x7 | ID:21117 x13 | ID:26429 x1 | ID:26430 x1 | ID:25379 x1 | ID:27093 x2"
"Armurier","77","Plastron Imperator","25369","77","48","10800","3","ID:26423 x2 | ID:26424 x2 | ID:26422 x13 | ID:21117 x12 | ID:21067 x7 | ID:27093 x2"
"Armurier","77","Plastron du Mulou","23549","78","48","5400","3","ID:27093 x2 | ID:8086 x7 | ID:5515 x1 | ID:23480 x1 | ID:12379 x1 | ID:8385 x1 | ID:21117 x13"
"Armurier","77","Renforts de Kroapule","23501","79","49","5400","3","ID:21117 x13 | ID:27093 x2 | ID:19308 x7 | ID:21067 x3 | ID:19374 x1 | ID:19377 x1 | ID:19350 x1"
"Armurier","77","Le Demimoune","23548","79","49","5400","3","ID:21117 x13 | ID:8086 x7 | ID:27093 x2 | ID:5515 x1 | ID:23480 x1 | ID:12379 x1 | ID:10100 x1"
"Armurier","77","Rat fistolé","23527","79","49","5400","3","ID:21067 x3 | ID:21117 x13 | ID:3565 x7 | ID:12641 x1 | ID:15402 x1 | ID:15408 x1 | ID:27093 x2"
"Armurier","77","Plastruche","25383","79","49","5400","3","ID:26429 x1 | ID:26430 x1 | ID:25382 x1 | ID:26428 x7 | ID:21639 x3 | ID:27093 x2 | ID:21117 x13"
"Armurier","77","Les Kramouillettes","25409","79","49","5400","3","ID:26428 x7 | ID:21639 x3 | ID:21117 x13 | ID:25408 x1 | ID:26429 x1 | ID:26430 x1 | ID:27093 x2"
"Armurier","77","Plastron Tsar","25356","79","49","5400","3","ID:26423 x1 | ID:26424 x1 | ID:25355 x1 | ID:21067 x3 | ID:26422 x7 | ID:21117 x13 | ID:27093 x2"
"Armurier","77","Epaulettes Prespic","25434","79","49","5400","3","ID:26417 x1 | ID:11486 x1 | ID:26418 x1 | ID:25433 x1 | ID:26416 x7 | ID:21117 x13 | ID:27093 x2"
"Armurier","77","Les Apologes","24398","80","50","5400","3","ID:23480 x1 | ID:24705 x1 | ID:24397 x1 | ID:21117 x13 | ID:27093 x2 | ID:24706 x7"
"Armurier","77","Le Dolman","24404","80","50","5400","3","ID:24706 x7 | ID:21639 x3 | ID:21117 x13 | ID:24705 x1 | ID:24403 x1 | ID:27093 x2"
"Armurier","77","Plumage de Vrille","19352","80","50","5400","3","ID:19308 x7 | ID:21067 x3 | ID:21117 x13 | ID:19374 x1 | ID:19377 x1 | ID:23514 x1 | ID:27093 x2"
"Armurier","77","Le Surcot","24419","80","50","5400","3","ID:24705 x1 | ID:24418 x1 | ID:21628 x3 | ID:24706 x7 | ID:21117 x13 | ID:27093 x2"
"Armurier","77","Le Blinde","24387","80","50","5400","3","ID:24705 x1 | ID:24386 x1 | ID:21067 x3 | ID:24706 x7 | ID:21117 x13 | ID:27093 x2"
"Armurier","77","Les Serpattes","24412","80","50","5400","3","ID:21117 x13 | ID:23480 x1 | ID:24705 x1 | ID:24411 x1 | ID:24706 x7 | ID:27093 x2"
"Armurier","77","Epaulettes Marabouf","12590","80","50","10800","3","ID:22480 x2 | ID:12585 x1 | ID:21117 x12 | ID:21067 x7 | ID:27093 x2"
"Armurier","77","Plastron phosphorescent","17006","80","50","10800","3","ID:15222 x2 | ID:15221 x13 | ID:21117 x12 | ID:21639 x7 | ID:15220 x2 | ID:27093 x2"
"Armurier","77","Plastron du Ratican","15417","80","50","10800","3","ID:21117 x12 | ID:21067 x7 | ID:27093 x2 | ID:12641 x2 | ID:15408 x2 | ID:3565 x13"
"Armurier","77","Corvus Esperax","19336","80","50","10800","3","ID:21117 x12 | ID:11486 x2 | ID:19374 x2 | ID:19377 x2 | ID:19308 x13 | ID:27093 x2"
"Armurier","77","Le Ryfé","24640","80","50","5400","3","ID:11486 x1 | ID:24705 x1 | ID:24639 x1 | ID:21117 x13 | ID:27093 x2 | ID:24706 x7"
"Armurier","77","Plastron Gligli Impérial","25444","80","50","5400","3","ID:26417 x1 | ID:11486 x1 | ID:26418 x1 | ID:25443 x1 | ID:27093 x2 | ID:26416 x7 | ID:21117 x13"
"Armurier","77","Truch'Plastron Impérial","25412","80","50","10800","3","ID:26429 x2 | ID:26430 x2 | ID:26428 x13 | ID:21117 x12 | ID:21067 x7 | ID:27093 x2"
"Armurier","77","Epaulettes Umoosh","25350","80","50","5400","3","ID:26423 x1 | ID:26424 x1 | ID:25349 x1 | ID:27093 x2 | ID:21067 x3 | ID:26422 x7 | ID:21117 x13"
"Armurier","77","Plastron Marabouf","12587","80","50","10800","3","ID:11486 x2 | ID:22480 x2 | ID:12585 x1 | ID:21117 x12 | ID:27093 x2"
"Armurier","77","Plaque Brute","21068","95","50","450","1","ID:13178 x5 | ID:1856 x5"
"Armurier","77","Le Résidu","15404","80","50","16200","4","ID:12641 x3 | ID:3565 x19 | ID:23535 x1 | ID:15408 x3 | ID:21117 x17 | ID:27093 x5 | ID:21067 x10"
"Armurier","77","Passerrok","19337","80","50","10800","3","ID:21117 x12 | ID:11486 x2 | ID:19374 x2 | ID:19377 x2 | ID:27093 x2 | ID:19308 x13"
"Armurier","77","Plastron Araknéen","23563","80","50","5400","3","ID:27093 x2 | ID:15220 x1 | ID:23480 x1 | ID:21117 x13 | ID:15221 x7 | ID:15222 x1 | ID:15208 x1"
"Armurier","77","Epaulettes Marabouf","23861","80","50","16200","4","ID:27093 x5 | ID:12585 x2 | ID:21117 x17 | ID:21628 x10 | ID:22480 x3 | ID:12590 x1"
"Armurier","77","Plastron Marabouf","23864","80","50","16200","4","ID:22480 x3 | ID:27093 x5 | ID:12585 x2 | ID:21117 x17 | ID:21067 x10 | ID:12587 x1"
"Armurier","77","Toison d'Excarnus","23856","80","50","16200","4","ID:22480 x3 | ID:27093 x5 | ID:12585 x2 | ID:21117 x17 | ID:11486 x3 | ID:14128 x1"
"Armurier","77","Robe Sacrée","12599","90","56","1800","2","ID:21118 x7 | ID:17221 x2 | ID:23341 x1 | ID:27093 x1"
"Armurier","77","Haillons","12865","90","56","3600","2","ID:12813 x14 | ID:21068 x3 | ID:12815 x2 | ID:21118 x5 | ID:27093 x1"
"Armurier","77","Scarapaules","25508","90","56","1800","2","ID:21118 x7 | ID:25507 x1 | ID:27093 x1 | ID:21068 x5"
"Armurier","77","Les Amaincales","19492","90","56","1800","2","ID:21068 x5 | ID:21118 x7 | ID:23376 x1 | ID:27093 x1"
"Armurier","77","Gilet mortuaire","23390","90","56","3600","2","ID:19488 x2 | ID:21118 x5 | ID:21068 x3 | ID:27093 x1 | ID:19487 x14"
"Armurier","77","Plastron de l'Apprenti","23409","91","57","3600","2","ID:23334 x2 | ID:23333 x14 | ID:21118 x5 | ID:21629 x3 | ID:27093 x1"
"Armurier","77","La Paroisse","12604","91","57","1800","2","ID:21068 x5 | ID:21118 x7 | ID:23344 x1 | ID:27093 x1"
"Armurier","77","Plastron de Sable","16787","91","57","1800","2","ID:21640 x5 | ID:21118 x7 | ID:23416 x1 | ID:27093 x1"
"Armurier","77","Epaulenstein","23391","93","58","10800","3","ID:19488 x2 | ID:19500 x2 | ID:19487 x14 | ID:21118 x13 | ID:21640 x7 | ID:27093 x3"
